Numero identification ,Frequence utilisation avion ?,Quelle taille mesurez-vous?,Qui devrait avoir le controle du hublot ?,Est-il imprudent de s'installer sur des sieges invendus dans les avions ?,Est-il impoli de parler dans une conversation a l'etranger a cote de vous ?,Est-il impoli d'incliner votre siege dans un avion ?,Est-il impoli de reveiller un passager si vous essayez d'aller aux toilettes ?,En general  est-il impoli d'amener un bebe dans un avion ?,Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction ?,Genre ,Age ,Revenu du menage ,Diplome ,Emplacement (region de recensement)
3433405051,Once a year or less,"6'1""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,Yes  somewhat rude,No  not at all rude,Yes  very rude,No,Male,60,75000,Graduate degree,West South Central
3433400808,Never,,,,,,,,,Male,45,75000,Some college or Associate degree,Middle Atlantic
3433400150,Never,,,,,,,,,Male,30,75000,Bachelor degree,West South Central
3433396155,Never,,,,,,,,,Male,55,75000,Some college or Associate degree,South Atlantic
3433387742,Once a month or less,"5'10""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,30,125000,Bachelor degree,Mountain
3433383009,Once a year or less,"5'9""",The person in the window seat should have exclusive control,No  not rude at all,No  not at all rude,No  not rude at all,Yes  somewhat rude,No  not at all rude,No,Male,59,35000,Bachelor degree,East North Central
3433381681,Once a month or less,"5'9""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,75,75000,Bachelor degree,East South Central
3433379314,Once a year or less,"6'5""",The person in the window seat should have exclusive control,No  not rude at all,Yes  somewhat rude,Yes  very rude,No  not at all rude,No  not at all rude,No,Male,75,75000,Bachelor degree,West North Central
3433372314,Once a year or less,"5'11""",Everyone in the row should have some say,No  not rude at all,No  not at all rude,No  not rude at all,No  not at all rude,No  not at all rude,No,Male,65,75000,Some college or Associate degree,West North Central
3433370920,Once a year or less,"6'2""",Everyone in the row should have some say,No  not rude at all,Yes  somewhat rude,Yes  somewhat rude,No  not at all rude,No  not at all rude,No,Male,33,125000,Graduate degree,East North Central
